cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,2,818082,2,2,35590426,35590427,,,,,,,,,,,,,,,1146e552-d80d-4670-87cf-d516696b603a,CSFsoutec,10.2.30.37,,,StandAloneCluster,2900,90316121918631,P_TEL,P_TEL
1,2,818085,2,2,35590432,35590433,,,,,,,,,,,,,,,d479ae21-246d-421e-a5ec-e07165cc844f,CSFsoutec,10.2.30.37,,,StandAloneCluster,2900,90316121918631,P_TEL,P_TEL
1,2,818074,2,2,35590399,35590400,65881,11331532,65868,11329296,12,,,,,,1,,0,,83f2d386-6e36-46f1-b774-952d5b819869,SEP00260B5C05C4,10.2.30.37,MLQK=4.5000;MLQKav=4.4572;MLQKmn=3.4814;MLQKmx=4.5000;ICR=0.0000;CCR=0.0012;ICRmx=0.1003;CS=52;SCS=6;MLQKvr=0.95,,StandAloneCluster,0522,9999777349,P_TEL,P_TEL
1,2,818087,2,1,35590436,35590440,,,,,,629,100640,627,100320,0,,3,,20,9087aada-1455-4fe9-9d3f-aeea58ee4ed6,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613127287,3391000,,P_TEL
1,2,818086,2,2,35590434,35590435,,,,,,,,,,,,,,,3625f474-85d4-4b0e-92ff-024543230989,CSFsoutec,10.2.30.37,,,StandAloneCluster,2900,90316121918631,P_TEL,P_TEL
1,2,818090,2,1,35590446,35590450,,,,,,579,92640,577,92320,0,,3,,20,837fc264-2cdb-45ff-9a53-99ff8aa4660b,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,3052502850,3391000,,P_TEL
1,2,818089,2,2,35590444,35590445,6251,1075172,6250,1075000,0,,,,,,1,,0,,f9fa8c7a-f9e2-41a7-ab07-195bc9c55423,SEP00260B5C3031,10.2.30.113,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,4150,902122095548,P_TEL,P_LD_Caracas
1,2,818088,2,2,35590442,35590443,,,,,,,,,,,,,,,a46545a9-bdba-4053-b656-094873aefaef,CSFsoutec,10.2.30.37,,,StandAloneCluster,2900,90316121918631,P_TEL,P_TEL
1,2,818091,2,2,35590452,35590453,,,,,,,,,,,,,,,9878f17b-1436-43bd-b164-22e16c5e3293,CSFsoutec,10.2.30.37,,,StandAloneCluster,2900,90316121918631,P_TEL,P_TEL
1,2,818092,2,1,35590454,35590457,,,,,,1691,270560,1688,270080,0,,3,,20,a4043836-4232-4160-aeb6-29fc34261102,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,8593950825,3391000,,P_TEL
1,2,818093,2,1,35590459,35590462,,,,,,583,93280,167,25366,0,,2,,0,54f30a7a-63fc-4c83-83c0-0768fcf5d7ac,10.20.13.129,CiscoUM1-VI1,,,StandAloneCluster,3103198966,3391000,,P_TEL
1,2,818094,2,1,35590464,35590468,220,37840,213,36636,0,214,34240,214,34240,0,1,1,0,20,29b8169c-c7fa-40e2-b1b3-2b89fd0c2db0,SEPE80462EAB3E6,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0035;CCR=0.0035;ICRmx=0.0035;CS=1;SCS=0;MLQKvr=0.95,,StandAloneCluster,0360,3391000,P_TEL,P_TEL
1,2,818095,2,1,35590469,35590478,120,20640,114,19608,0,114,18240,113,18080,0,2,0,0,20,fba39d1b-d179-4207-b035-3672e5ec7f73,SEPE80462EAB3E6,CiscoUM1-VI2,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,0360,3391000,P_TEL,P_TEL
1,2,818096,2,1,35590471,35590474,,,,,,2546,407360,2544,407040,0,,3,,20,5ec6ca81-bc4e-4305-a3ce-5d27c15d1027,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,7372053282,3391000,,P_TEL
1,2,818093,2,1,35590459,18644522,,,,,,,,,,,,,,,e4ae4ab4-0073-4faa-a61d-2a90f47adfa4,10.20.13.129,10.20.13.129,,,StandAloneCluster,3103198966,9033125594664,,P_TEL
1,2,818097,2,1,35590479,35590483,145,24940,139,23908,0,139,22240,139,22240,0,2,0,0,20,fdf6e4b1-d9f8-4306-8f08-66fee0cce390,SEPE80462EAB3E6,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=1;SCS=0;MLQKvr=0.95,,StandAloneCluster,0360,3391000,P_TEL,P_TEL
1,2,818098,2,2,35590484,35590485,2568,441696,2545,437740,0,2542,406720,2548,438084,0,1,0,0,1,b5d924c0-42cd-466e-b287-76aad62c0bd7,SEPE80462EAB3E6,SEP700B4F90DFF5,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,CCR=0.0006;ICR=0.0000;ICRmx=0.0066;CS=2;SCS=0;Ver=0.90;VoRxCodec=G.722 64k;CID=6;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=1,StandAloneCluster,0360,0359,P_TEL,P_TEL
1,2,818099,2,1,35590487,35590491,234,40248,227,39044,0,228,36480,227,36320,0,1,0,0,20,8df0610d-d9d6-423c-937c-821fbfe40738,SEPE80462EAB3E6,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0035;CCR=0.0035;ICRmx=0.0035;CS=1;SCS=0;MLQKvr=0.95,,StandAloneCluster,0360,3391000,P_TEL,P_TEL
1,2,818100,2,2,35590492,35590493,857,147404,856,147232,0,858,147576,856,147232,0,0,0,0,0,9ef6b0fc-be57-4d02-84a7-d3afaf09a323,SEPE80462EA7331,SEPE8046213C81E,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,3313,3377,P_TEL,P_TEL
1,2,818102,2,2,35590499,35590500,,,,,,,,,,,,,,,26c782b8-449d-40e0-b5d6-71754a0bec2f,BOTCTOSHIO,10.2.30.37,,,StandAloneCluster,3373,903185994036648,P_TEL,P_TEL
1,2,818101,2,1,35590494,35590497,,,,,,2317,370720,2230,355210,0,,4,,20,bea1f1a3-1cb0-4663-9836-47901a773afc,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,8137936780,3391000,,P_TEL
1,2,818101,2,1,35590494,35590503,,,,,,555,88800,555,88800,0,,3,,20,55211793-cd45-41c5-b382-7217bb46dd72,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,8137936780,3391000,,P_TEL
1,2,818103,2,2,35590504,35590505,,,,,,,,,,,,,,,28550158-7e6e-4a36-9130-e164d7d354e6,BOTCTOSHIO,10.2.30.37,,,StandAloneCluster,3373,903185994036648,P_TEL,P_TEL
1,2,818106,2,1,35590510,35590514,,,,,,650,104000,648,103680,0,,3,,20,e3fac068-8ae3-42a5-8e60-0ac53b564c41,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613614201,3391000,,P_TEL
