cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,4,7814498,4,4,75940165,75940166,18613,3201436,18615,3201780,0,,,,,,0,,0,,9e7978ed-2f5a-45e9-ab03-d71d6a6fec14,SEP34DBFDCC93C1,AN00F137DEFF400,MLQK=4.5000;MLQKav=4.4948;MLQKmn=4.3828;MLQKmx=4.5000;ICR=0.0000;CCR=0.0001;ICRmx=0.0065;CS=3;SCS=0;MLQKvr=0.95,,StandAloneCluster,2036,2472,IP PHONES Venezuela,IP PHONES sin DDE
1,6,6310810,6,4,109429007,109429011,,,,,,565,11300,559,11180,0,,2,,0,5c1fcbca-1137-4c00-a29a-1ac7c85c4313,10.200.110.2,CiscoUM1-VI1,,,StandAloneCluster,576018012955,8000,,IP PHONES Venezuela
1,6,6310811,6,4,109429012,109429018,,,,,,982,19640,976,19520,0,,3,,0,2d3563c8-e6c6-4335-95dc-ed2dd5b305e9,10.200.110.2,CiscoUM1-VI1,,,StandAloneCluster,576018012955,8000,,IP PHONES Venezuela
1,4,7814502,4,4,75940175,75940176,143,21788,133,21280,0,,,,,,1,,0,,49b215b0-85c6-42ed-95f0-54d58f851b36,SEP0C272455BEF1,SIP_Trunk_InterGrupo,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,,StandAloneCluster,6523,100570317424781,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814504,4,4,75940181,75940185,113,19436,113,19436,0,116,18560,113,18080,0,1,0,0,20,80b3920c-42a2-4ab0-bd8c-df7eba565119,SEP64E9502EAA58,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,2125,8000,IP PHONES Venezuela,IP PHONES Venezuela
1,6,6310812,6,6,109429015,109429016,7138,1142080,6382,1021120,0,,,,,,105,,0,,f2153f70-3352-4067-b79a-1d343bcd665f,SEP0C272455940D,SIP_Trunk_InterGrupo,MLQK=3.7407;MLQKav=3.5415;MLQKmn=2.0000;MLQKmx=4.5000;ICR=0.0767;CCR=0.1062;ICRmx=0.9967;CS=73;SCS=43;MLQKvr=0.9500,,StandAloneCluster,8578,2200,IP PHONES Peru,IP PHONES Venezuela
1,4,7814503,4,4,75940177,75940178,1675,268000,1676,268160,0,1674,267840,1672,267520,0,0,0,0,0,ac9447d1-59ca-4915-87ad-47abbcf6143f,SEP0C272455BEF1,SEP0C272455CF64,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,StandAloneCluster,6523,6552,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814499,4,4,75940167,75940168,,,,,,15127,2601844,15129,2602188,0,,0,,0,de5ef43a-60bf-43f9-9642-2f7f6a77b061,AN00F137DEFF400,SEP34DBFDCC93C1,,MLQK=4.5000;MLQKav=4.4982;MLQKmn=4.4438;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0033;CS=1;SCS=0;MLQKvr=0.95,StandAloneCluster,2472,2222,IP PHONES sin DDE,IP PHONES Venezuela
1,6,6310813,6,4,109429019,109429020,4971,795360,4977,855872,0,,,,,,0,,1,,40d6b171-2c88-4950-b6ff-c82b3520e132,SEP701F534C41BB,10.200.25.2,CCR=0.0000;ICR=0.0000;ICRmx=0.0032;CS=1;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=2;maxJitter=1,,StandAloneCluster,6441,11555823801,IP PHONES Argentina,Celulares Argentina
1,6,6310815,6,6,109429030,109429031,4776,764160,4773,820784,0,4770,763200,4769,820096,0,0,0,1,1,64866d47-ebfe-45da-b99a-73d43736345c,SEP701F534C41BB,SEP007686EC1111,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=2,CCR=0.0001;ICR=0.0000;ICRmx=0.0037;CS=1;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=5,StandAloneCluster,6441,6406,IP PHONES Argentina,IP PHONES Argentina
1,6,6310817,6,6,109429038,109429039,1748,279680,1750,300828,0,1756,280960,1752,301172,0,0,0,1,1,3a7c6176-8dc1-4099-935f-e45c325e43c6,SEP045FB9B6A5D8,SEP045FB9B6A551,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=2,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=2,StandAloneCluster,5395,5316,IP PHONES Panama,IP PHONES Panama
1,4,7814507,4,4,75940203,75940206,,,,,,,,,,,,,,,9676b870-11a4-402c-9bc5-c966fff94255,10.200.150.2,10.200.150.2,,,StandAloneCluster,8307757,162359372,,Celulares Panama 2
1,6,6310819,6,6,109429044,109429045,4598,735680,4601,791200,0,4608,737280,4602,791372,0,0,0,1,1,8fbd6d86-9205-4353-8e37-9a6c07abc69b,SEP0076861BBCA8,SEP045FB9B6A534,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=2,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=1,StandAloneCluster,5418,5305,IP PHONES Panama,IP PHONES Panama
1,6,6310820,6,4,109429047,109429051,,,,,,771,15420,765,15300,0,,2,,0,9c7bb7a1-feab-4a59-a5dd-e85b3a2f99c5,10.200.110.2,CiscoUM1-VI1,,,StandAloneCluster,3132680873,8000,,IP PHONES Venezuela
1,6,6310821,6,4,109429052,109429056,,,,,,221,4420,215,4300,0,,2,,0,f7ab6950-46e9-43dc-9b94-90d889da3b49,10.200.110.2,CiscoUM1-VI1,,,StandAloneCluster,3206969742,8000,,IP PHONES Venezuela
1,6,6310822,6,6,109429057,109429058,1755,280800,1758,302204,0,1765,282400,1759,302376,0,0,0,1,1,ddacd715-9f88-46cc-9ac3-70376588be61,SEP0076861BBCA8,SEP045FB9B6A534,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=0,CCR=0.0002;ICR=0.0000;ICRmx=0.0036;CS=1;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=2,StandAloneCluster,5418,5305,IP PHONES Panama,IP PHONES Panama
1,4,7814508,4,4,75940211,75940212,710,113600,712,113920,0,710,113600,708,113280,0,0,0,0,0,857ba490-d3af-408f-9f43-e670d7a6e91d,SEP0C272455BE53,SEP0C27245593D5,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,StandAloneCluster,2118,2152,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814509,4,4,75940218,75940219,547,94084,544,93568,0,545,93740,546,93912,0,0,1,0,0,a0798693-2198-4b8b-bf3c-fcaaaa93cf27,SEP34DBFDCDA833,SEP34DBFDCD0C0C,MLQK=4.5000;MLQKav=4.4719;MLQKmn=4.4438;MLQKmx=4.5000;ICR=0.0000;CCR=0.0011;ICRmx=0.0034;CS=1;SCS=0;MLQKvr=0.95,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,2111,2222,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814511,4,4,75940223,75940224,,,,,,240,38400,239,38240,0,,5,,0,41dd242f-24ec-4358-9ac9-9875c34f775b,SEP0C27245593D5,SEP0C272455BE53,,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,StandAloneCluster,2152,2118,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814510,4,4,75940220,75940221,1032,165120,1031,164960,0,1033,177676,1031,177332,0,9,0,0,0,3b36b1fc-fcbf-412a-a3b9-cf99ad15df19,SEP0C272455C020,SEP189C5D20EE8F,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,2279,2384,IP PHONES sin DDE,IP PHONES Venezuela
1,6,6310818,6,6,109429041,109429042,,,,,,14957,2393120,14959,2572776,0,,1,,1,38501027-775d-41a6-a229-640caa823911,10.200.110.2,SEP9C57ADB40CF7,,CCR=0.0001;ICR=0.0000;ICRmx=0.0033;CS=5;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=22,StandAloneCluster,6014957141,7322,,IP PHONES Colombia
