Device Name,Status,
SEP001121FF7467,Unregistered,
SEP001121FF7468,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7485,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF74B6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF74DB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF74F6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF74F8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF751C,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF753A,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7546,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF754C,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7578,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7587,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF75DC,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF75DD,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF75E5,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF75E8,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF75EB,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7656,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7665,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7671,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7684,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF76A5,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF76B3,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF76B6,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF76C6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF76CB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF76E0,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF772F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7778,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7785,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF77D8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
